iteration,objective,router_train_accuracy,router_val_accuracy,router_hold_accuracy,router_adv_accuracy,router_train_macro_f1,router_val_macro_f1,router_hold_macro_f1,router_adv_macro_f1,router_hold_dual_acc,scorer_train_balanced_accuracy,scorer_val_accuracy,scorer_val_balanced_accuracy,scorer_val_f1
49,0.9097,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7333,0.8106,0.8333,0.8333,0.8
50,0.8607,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5833,0.6667,0.6667,0.5
51,0.7606,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7333,0.5909,0.5833,0.5833,0.2857
52,0.8308,0.9841,1.0,0.9667,0.7222,0.9839,1.0,0.9663,0.7234,0.7667,0.75,0.75,0.75,0.6667
53,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
54,0.7323,0.9603,1.0,0.9667,0.6667,0.9594,1.0,0.9663,0.6769,0.7667,0.5,0.5,0.5,0
55,0.8029,0.9683,1.0,0.9667,0.6667,0.9671,1.0,0.9663,0.6769,0.7333,0.6818,0.7083,0.7083,0.5882
56,0.7429,0.9921,1.0,1.0,0.6944,0.9921,1.0,1.0,0.6997,0.7667,0.5,0.5,0.5,0
57,0.803,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.5,0.5,0.5,0
58,0.9157,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.7576,0.8333,0.8333,0.8
59,0.868,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7333,0.7045,0.7083,0.7083,0.5882
60,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
61,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
62,0.7725,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7667,0.6061,0.5833,0.5833,0.2857
63,0.809,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7333,0.6667,0.7083,0.7083,0.5882
64,0.7128,0.9762,1.0,1.0,0.6111,0.9757,1.0,1.0,0.579,0.7333,0.5,0.5,0.5,0
65,0.9268,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.8636,0.875,0.875,0.8571
66,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
67,0.7324,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7667,0.5,0.5,0.5,0
68,0.7264,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7333,0.5,0.5,0.5,0
69,0.7974,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7667,0.5,0.5,0.5,0
70,0.8729,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7667,0.8409,0.9167,0.9167,0.9091
71,0.845,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7333,0.7348,0.8333,0.8333,0.8
72,0.8669,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6769,0.7333,0.8864,0.9167,0.9167,0.9091
73,0.7264,0.9762,1.0,1.0,0.6667,0.9757,1.0,1.0,0.6472,0.7333,0.5,0.5,0.5,0
74,0.803,0.9921,1.0,1.0,1.0,0.9921,1.0,1.0,1.0,0.7667,0.5,0.5,0.5,0
75,0.7665,0.9683,1.0,0.9667,0.6667,0.9671,1.0,0.9663,0.6769,0.7667,0.5909,0.5833,0.5833,0.2857
76,0.8308,0.9921,1.0,1.0,0.7222,0.9921,1.0,1.0,0.7234,0.7333,0.7348,0.75,0.75,0.6667
77,0.8407,0.9921,1.0,1.0,0.9722,0.9921,1.0,1.0,0.972,0.7333,0.6667,0.625,0.625,0.4
